min_n,tree_depth,learn_rate,loss_reduction,.metric,.estimator,mean,n,std_err,.config
27,4,1.752476481837531e-6,10.558122251561032,accuracy,binary,0.9518122336014195,5,9.163984181939056e-4,Preprocessor1_Model01
27,4,1.752476481837531e-6,10.558122251561032,kap,binary,0,5,0,Preprocessor1_Model01
27,4,1.752476481837531e-6,10.558122251561032,roc_auc,binary,0.5791421541504592,5,0.0034607063465928764,Preprocessor1_Model01
27,4,1.752476481837531e-6,10.558122251561032,sens,binary,1,5,0,Preprocessor1_Model01
27,2,0.06920873209678928,2.3058771017567445e-8,accuracy,binary,0.9518122336014195,5,9.163984181939056e-4,Preprocessor1_Model02
27,2,0.06920873209678928,2.3058771017567445e-8,kap,binary,0,5,0,Preprocessor1_Model02
27,2,0.06920873209678928,2.3058771017567445e-8,roc_auc,binary,0.6519808405625123,5,0.006681060925114758,Preprocessor1_Model02
27,2,0.06920873209678928,2.3058771017567445e-8,sens,binary,1,5,0,Preprocessor1_Model02
26,6,9.15002409206145e-8,0.0010284134625556608,accuracy,binary,0.9518122336014195,5,9.163984181939056e-4,Preprocessor1_Model03
26,6,9.15002409206145e-8,0.0010284134625556608,kap,binary,0,5,0,Preprocessor1_Model03
26,6,9.15002409206145e-8,0.0010284134625556608,roc_auc,binary,0.5967451280908501,5,0.007669409001364377,Preprocessor1_Model03
26,6,9.15002409206145e-8,0.0010284134625556608,sens,binary,1,5,0,Preprocessor1_Model03
17,8,6.597770288120785e-5,0.072361854183159,accuracy,binary,0.9518122336014195,5,9.163984181939056e-4,Preprocessor1_Model04
17,8,6.597770288120785e-5,0.072361854183159,kap,binary,0,5,0,Preprocessor1_Model04
17,8,6.597770288120785e-5,0.072361854183159,roc_auc,binary,0.6052050760872599,5,0.005269667728939444,Preprocessor1_Model04
17,8,6.597770288120785e-5,0.072361854183159,sens,binary,1,5,0,Preprocessor1_Model04
16,4,1.3637138864402385e-4,5.2284976853449575e-6,accuracy,binary,0.9518122336014195,5,9.163984181939056e-4,Preprocessor1_Model05
16,4,1.3637138864402385e-4,5.2284976853449575e-6,kap,binary,0,5,0,Preprocessor1_Model05
16,4,1.3637138864402385e-4,5.2284976853449575e-6,roc_auc,binary,0.6034571765125791,5,0.004234222387605008,Preprocessor1_Model05
16,4,1.3637138864402385e-4,5.2284976853449575e-6,sens,binary,1,5,0,Preprocessor1_Model05
25,13,8.333670873081587e-9,6.85974797960282e-10,accuracy,binary,0.9518122336014195,5,9.163984181939056e-4,Preprocessor1_Model06
25,13,8.333670873081587e-9,6.85974797960282e-10,kap,binary,0,5,0,Preprocessor1_Model06
25,13,8.333670873081587e-9,6.85974797960282e-10,roc_auc,binary,0.5,5,0,Preprocessor1_Model06
25,13,8.333670873081587e-9,6.85974797960282e-10,sens,binary,1,5,0,Preprocessor1_Model06
11,8,2.4829955390394216e-6,6.01732690859489e-9,accuracy,binary,0.9518122336014195,5,9.163984181939056e-4,Preprocessor1_Model07
11,8,2.4829955390394216e-6,6.01732690859489e-9,kap,binary,0,5,0,Preprocessor1_Model07
11,8,2.4829955390394216e-6,6.01732690859489e-9,roc_auc,binary,0.5996934255185026,5,0.004440713052270175,Preprocessor1_Model07
11,8,2.4829955390394216e-6,6.01732690859489e-9,sens,binary,1,5,0,Preprocessor1_Model07
21,3,0.011070070405097976,5.779038121528343e-4,accuracy,binary,0.9518122336014195,5,9.163984181939056e-4,Preprocessor1_Model08
21,3,0.011070070405097976,5.779038121528343e-4,kap,binary,0,5,0,Preprocessor1_Model08
21,3,0.011070070405097976,5.779038121528343e-4,roc_auc,binary,0.6397851956761431,5,0.0071132169873463725,Preprocessor1_Model08
21,3,0.011070070405097976,5.779038121528343e-4,sens,binary,1,5,0,Preprocessor1_Model08
23,5,0.0029359215538012095,3.751385198331202e-7,accuracy,binary,0.9518122336014195,5,9.163984181939056e-4,Preprocessor1_Model09
23,5,0.0029359215538012095,3.751385198331202e-7,kap,binary,0,5,0,Preprocessor1_Model09
23,5,0.0029359215538012095,3.751385198331202e-7,roc_auc,binary,0.6347996935869592,5,0.007489344292466516,Preprocessor1_Model09
23,5,0.0029359215538012095,3.751385198331202e-7,sens,binary,1,5,0,Preprocessor1_Model09
35,8,1.0680791593614608e-5,7.426332653616597e-6,accuracy,binary,0.9518122336014195,5,9.163984181939056e-4,Preprocessor1_Model10
35,8,1.0680791593614608e-5,7.426332653616597e-6,kap,binary,0,5,0,Preprocessor1_Model10
35,8,1.0680791593614608e-5,7.426332653616597e-6,roc_auc,binary,0.6020237902043328,5,0.003202585651794507,Preprocessor1_Model10
35,8,1.0680791593614608e-5,7.426332653616597e-6,sens,binary,1,5,0,Preprocessor1_Model10
17,13,2.2487421112177817e-4,2.6383132868312506e-4,accuracy,binary,0.9518122336014195,5,9.163984181939056e-4,Preprocessor1_Model11
17,13,2.2487421112177817e-4,2.6383132868312506e-4,kap,binary,0,5,0,Preprocessor1_Model11
17,13,2.2487421112177817e-4,2.6383132868312506e-4,roc_auc,binary,0.610498528957721,5,0.004085243393650145,Preprocessor1_Model11
17,13,2.2487421112177817e-4,2.6383132868312506e-4,sens,binary,1,5,0,Preprocessor1_Model11
12,10,6.618764795055306e-7,7.482098167714894,accuracy,binary,0.9518122336014195,5,9.163984181939056e-4,Preprocessor1_Model12
12,10,6.618764795055306e-7,7.482098167714894,kap,binary,0,5,0,Preprocessor1_Model12
12,10,6.618764795055306e-7,7.482098167714894,roc_auc,binary,0.5843930210144787,5,0.00451069943318878,Preprocessor1_Model12
12,10,6.618764795055306e-7,7.482098167714894,sens,binary,1,5,0,Preprocessor1_Model12
37,3,2.2642590990467143e-5,0.39127672524488194,accuracy,binary,0.9518122336014195,5,9.163984181939056e-4,Preprocessor1_Model13
37,3,2.2642590990467143e-5,0.39127672524488194,kap,binary,0,5,0,Preprocessor1_Model13
37,3,2.2642590990467143e-5,0.39127672524488194,roc_auc,binary,0.6014453773144183,5,0.002833745952085656,Preprocessor1_Model13
37,3,2.2642590990467143e-5,0.39127672524488194,sens,binary,1,5,0,Preprocessor1_Model13
15,11,2.175708452377297e-10,1.9969062809153626e-008,accuracy,binary,0.9518122336014195,5,9.163984181939056e-4,Preprocessor1_Model14
15,11,2.175708452377297e-10,1.9969062809153626e-008,kap,binary,0,5,0,Preprocessor1_Model14
15,11,2.175708452377297e-10,1.9969062809153626e-008,roc_auc,binary,0.5,5,0,Preprocessor1_Model14
15,11,2.175708452377297e-10,1.9969062809153626e-008,sens,binary,1,5,0,Preprocessor1_Model14
5,8,1.7085804623161486e-4,0.00703134574488907,accuracy,binary,0.9518122336014195,5,9.163984181939056e-4,Preprocessor1_Model15
5,8,1.7085804623161486e-4,0.00703134574488907,kap,binary,0,5,0,Preprocessor1_Model15
5,8,1.7085804623161486e-4,0.00703134574488907,roc_auc,binary,0.609463978252916,5,0.0033486335077307144,Preprocessor1_Model15
5,8,1.7085804623161486e-4,0.00703134574488907,sens,binary,1,5,0,Preprocessor1_Model15
35,13,1.1304840435291887e-4,31.58594077756462,accuracy,binary,0.9518122336014195,5,9.163984181939056e-4,Preprocessor1_Model16
35,13,1.1304840435291887e-4,31.58594077756462,kap,binary,0,5,0,Preprocessor1_Model16
35,13,1.1304840435291887e-4,31.58594077756462,roc_auc,binary,0.5,5,0,Preprocessor1_Model16
35,13,1.1304840435291887e-4,31.58594077756462,sens,binary,1,5,0,Preprocessor1_Model16
8,1,9.118446509034564e-4,7.916153439985901e-8,accuracy,binary,0.9518122336014195,5,9.163984181939056e-4,Preprocessor1_Model17
8,1,9.118446509034564e-4,7.916153439985901e-8,kap,binary,0,5,0,Preprocessor1_Model17
8,1,9.118446509034564e-4,7.916153439985901e-8,roc_auc,binary,0.5909232614875721,5,0.004431541606007737,Preprocessor1_Model17
8,1,9.118446509034564e-4,7.916153439985901e-8,sens,binary,1,5,0,Preprocessor1_Model17
2,8,7.224431047433515e-5,0.06723833577490457,accuracy,binary,0.9518122336014195,5,9.163984181939056e-4,Preprocessor1_Model18
2,8,7.224431047433515e-5,0.06723833577490457,kap,binary,0,5,0,Preprocessor1_Model18
2,8,7.224431047433515e-5,0.06723833577490457,roc_auc,binary,0.6051644071478385,5,0.003451946997743114,Preprocessor1_Model18
2,8,7.224431047433515e-5,0.06723833577490457,sens,binary,1,5,0,Preprocessor1_Model18
39,12,0.0665519601345004,2.89615591145715e-7,accuracy,binary,0.9518122336014195,5,9.163984181939056e-4,Preprocessor1_Model19
39,12,0.0665519601345004,2.89615591145715e-7,kap,binary,0,5,0,Preprocessor1_Model19
39,12,0.0665519601345004,2.89615591145715e-7,roc_auc,binary,0.6747298995386265,5,0.00980629976724749,Preprocessor1_Model19
39,12,0.0665519601345004,2.89615591145715e-7,sens,binary,1,5,0,Preprocessor1_Model19
35,13,0.002691549762783653,2.9684919935731076,accuracy,binary,0.9518122336014195,5,9.163984181939056e-4,Preprocessor1_Model20
35,13,0.002691549762783653,2.9684919935731076,kap,binary,0,5,0,Preprocessor1_Model20
35,13,0.002691549762783653,2.9684919935731076,roc_auc,binary,0.6296254386852195,5,0.006686603778054802,Preprocessor1_Model20
35,13,0.002691549762783653,2.9684919935731076,sens,binary,1,5,0,Preprocessor1_Model20
